Filename,Percentage
35-vars/v35_problem__028.smt2.slack.smt2,69.72%
35-vars/v35_problem__030.smt2.slack.smt2,68.90%
40-vars/v40_problem_2__009.smt2.slack.smt2,72.31%
40-vars/v40_problem_2__017.smt2.slack.smt2,70.25%
40-vars/v40_problem_2__018.smt2.slack.smt2,72.78%
40-vars/v40_problem_2__020.smt2.slack.smt2,71.42%
40-vars/v40_problem_2__022.smt2.slack.smt2,71.75%
40-vars/v40_problem_2__023.smt2.slack.smt2,70.47%
40-vars/v40_problem_2__027.smt2.slack.smt2,70.23%
40-vars/v40_problem_2__034.smt2.slack.smt2,68.16%
40-vars/v40_problem_2__035.smt2.slack.smt2,54.13%
40-vars/v40_problem__004.smt2.slack.smt2,71.16%
40-vars/v40_problem__008.smt2.slack.smt2,72.16%
40-vars/v40_problem__022.smt2.slack.smt2,72.45%
40-vars/v40_problem__024.smt2.slack.smt2,33.81%
40-vars/v40_problem__025.smt2.slack.smt2,70.98%
40-vars/v40_problem__032.smt2.slack.smt2,64.21%
45-vars/v45_problem_2__001.smt2.slack.smt2,73.31%
45-vars/v45_problem_2__008.smt2.slack.smt2,72.72%
45-vars/v45_problem_2__009.smt2.slack.smt2,72.15%
45-vars/v45_problem_2__019.smt2.slack.smt2,71.02%
45-vars/v45_problem_2__021.smt2.slack.smt2,70.72%
45-vars/v45_problem_2__024.smt2.slack.smt2,71.07%
45-vars/v45_problem_2__025.smt2.slack.smt2,69.91%
45-vars/v45_problem_2__027.smt2.slack.smt2,67.60%
45-vars/v45_problem_2__030.smt2.slack.smt2,66.66%
45-vars/v45_problem_2__033.smt2.slack.smt2,66.06%
45-vars/v45_problem__003.smt2.slack.smt2,71.89%
45-vars/v45_problem__009.smt2.slack.smt2,72.41%
45-vars/v45_problem__015.smt2.slack.smt2,73.09%
45-vars/v45_problem__018.smt2.slack.smt2,72.74%
45-vars/v45_problem__022.smt2.slack.smt2,70.51%
SMT_random_LIA/ex14600_2600_100.smt2,12.47%
SMT_random_LIA/ex16300_2600_100.smt2,12.89%
SMT_random_LIA/ex17800_2600_100.smt2,12.68%
SMT_random_LIA/ex18000_2600_100.smt2,12.53%
SMT_random_LIA/ex18900_2600_100.smt2,12.57%
SMT_random_LIA/ex21200_2600_100.smt2,12.37%
SMT_random_LIA/ex21300_2600_100.smt2,12.25%
SMT_random_LIA/ex21900_2600_100.smt2,12.40%
SMT_random_LIA/ex24600_2600_100.smt2,12.14%
SMT_random_LIA/ex25700_2600_100.smt2,12.34%
SMT_random_LIA/ex26100_2600_100.smt2,11.76%
SMT_random_LIA/ex27000_2600_100.smt2,12.26%
SMT_random_LIA/ex28200_2600_100.smt2,12.19%
SMT_random_LIA/ex28300_2600_100.smt2,12.31%
SMT_random_LIA/ex28500_2600_100.smt2,12.11%
SMT_real_LIA/ex5440_2400_100.smt2,10.59%
SMT_real_LIA/ex5460_2400_100.smt2,10.72%
SMT_real_LIA/ex5480_2400_100.smt2,10.64%
SMT_real_LIA/ex5680_2400_100.smt2,11.16%
SMT_real_LIA/ex6120_2400_100.smt2,11.42%
SMT_real_LIA/ex6220_2400_100.smt2,11.34%
SMT_real_LIA/ex8220_2400_100.smt2,11.23%
SMT_real_LIA/ex8440_2400_100.smt2,11.11%
SMT_real_LIA/ex8500_2400_100.smt2,11.07%
SMT_real_LIA/ex8600_2400_100.smt2,11.05%
SMT_real_LIA/ex8820_2400_100.smt2,10.95%
SMT_real_LIA/ex9240_2400_100.smt2,11.09%
SMT_real_LIA/ex9500_2400_100.smt2,10.76%
SMT_real_LIA/ex9820_2400_100.smt2,10.90%
SMT_real_LIA/ex9900_2400_100.smt2,10.95%
10-vars/problem_2__004.smt2,58.11%
10-vars/problem_2__005.smt2,65.56%
10-vars/problem_2__007.smt2,46.86%
10-vars/problem_2__008.smt2,39.87%
10-vars/problem_2__010.smt2,69.28%
10-vars/problem_2__011.smt2,71.47%
10-vars/problem_2__017.smt2,66.48%
10-vars/problem_2__022.smt2,58.96%
10-vars/problem__005.smt2,72.08%
10-vars/problem__006.smt2,71.45%
10-vars/problem__007.smt2,73.35%
10-vars/problem__010.smt2,69.51%
10-vars/problem__014.smt2,58.57%
10-vars/problem__015.smt2,63.48%
10-vars/problem__023.smt2,56.91%
15-vars/problem_2__001.smt2,73.93%
15-vars/problem_2__003.smt2,72.28%
15-vars/problem_2__006.smt2,56.56%
15-vars/problem_2__007.smt2,73.10%
15-vars/problem_2__008.smt2,74.15%
15-vars/problem_2__009.smt2,74.78%
15-vars/problem_2__015.smt2,60.86%
15-vars/problem_2__023.smt2,59.60%
15-vars/problem__002.smt2,72.76%
15-vars/problem__004.smt2,73.19%
15-vars/problem__010.smt2,75.25%
15-vars/problem__011.smt2,69.75%
15-vars/problem__013.smt2,74.25%
15-vars/problem__017.smt2,19.28%
15-vars/problem__019.smt2,68.27%
20-vars/problem_2__004.smt2,75.83%
20-vars/problem_2__006.smt2,68.99%
20-vars/problem_2__007.smt2,73.11%
20-vars/problem_2__010.smt2,72.99%
20-vars/problem_2__012.smt2,74.81%
20-vars/problem_2__015.smt2,68.25%
20-vars/problem__003.smt2,72.35%
20-vars/problem__004.smt2,75.25%
20-vars/problem__005.smt2,74.69%
20-vars/problem__008.smt2,75.27%
20-vars/problem__009.smt2,75.08%
20-vars/problem__012.smt2,73.14%
20-vars/problem__021.smt2,67.24%
20-vars/problem__024.smt2,71.96%
20-vars/problem__028.smt2,42.63%
25-vars/problem_2__002.smt2,75.26%
25-vars/problem_2__003.smt2,75.17%
25-vars/problem_2__008.smt2,74.48%
25-vars/problem_2__011.smt2,74.03%
25-vars/problem_2__016.smt2,23.36%
25-vars/problem_2__018.smt2,70.03%
25-vars/problem_2__024.smt2,17.67%
25-vars/problem_2__025.smt2,28.81%
25-vars/problem_2__026.smt2,14.78%
25-vars/problem_2__032.smt2,16.66%
25-vars/problem__004.smt2,75.22%
25-vars/problem__012.smt2,22.94%
25-vars/problem__019.smt2,20.87%
25-vars/problem__029.smt2,19.31%
25-vars/problem__035.smt2,13.01%
30-vars/problem_2__005.smt2,74.56%
