Filename,Percentage
45-vars/v45_problem_2__008.smt2.slack.smt2,40.23%
45-vars/v45_problem_2__009.smt2.slack.smt2,46.30%
45-vars/v45_problem_2__019.smt2.slack.smt2,44.55%
45-vars/v45_problem_2__021.smt2.slack.smt2,46.19%
45-vars/v45_problem_2__024.smt2.slack.smt2,42.82%
45-vars/v45_problem_2__025.smt2.slack.smt2,45.07%
45-vars/v45_problem_2__027.smt2.slack.smt2,42.03%
45-vars/v45_problem_2__030.smt2.slack.smt2,46.89%
45-vars/v45_problem_2__033.smt2.slack.smt2,48.28%
45-vars/v45_problem__003.smt2.slack.smt2,44.60%
45-vars/v45_problem__009.smt2.slack.smt2,52.91%
45-vars/v45_problem__015.smt2.slack.smt2,48.86%
45-vars/v45_problem__018.smt2.slack.smt2,46.00%
45-vars/v45_problem__022.smt2.slack.smt2,43.75%
SMT_random_LIA/ex14600_2600_100.smt2,10.37%
SMT_random_LIA/ex16300_2600_100.smt2,10.44%
SMT_random_LIA/ex17800_2600_100.smt2,9.82%
SMT_random_LIA/ex18000_2600_100.smt2,10.74%
SMT_random_LIA/ex18900_2600_100.smt2,9.79%
SMT_random_LIA/ex21200_2600_100.smt2,9.97%
SMT_random_LIA/ex21300_2600_100.smt2,9.47%
SMT_random_LIA/ex21900_2600_100.smt2,10.43%
SMT_random_LIA/ex24600_2600_100.smt2,8.71%
SMT_random_LIA/ex25700_2600_100.smt2,8.36%
SMT_random_LIA/ex26100_2600_100.smt2,9.87%
SMT_random_LIA/ex27000_2600_100.smt2,8.29%
SMT_random_LIA/ex28200_2600_100.smt2,8.76%
SMT_random_LIA/ex28300_2600_100.smt2,8.46%
SMT_random_LIA/ex28500_2600_100.smt2,9.87%
SMT_real_LIA/ex5440_2400_100.smt2,10.41%
SMT_real_LIA/ex5460_2400_100.smt2,10.02%
SMT_real_LIA/ex5480_2400_100.smt2,10.16%
SMT_real_LIA/ex5680_2400_100.smt2,10.33%
SMT_real_LIA/ex6120_2400_100.smt2,8.91%
SMT_real_LIA/ex6220_2400_100.smt2,9.22%
SMT_real_LIA/ex8220_2400_100.smt2,10.33%
SMT_real_LIA/ex8440_2400_100.smt2,9.88%
SMT_real_LIA/ex8500_2400_100.smt2,9.06%
SMT_real_LIA/ex8600_2400_100.smt2,9.84%
SMT_real_LIA/ex8820_2400_100.smt2,9.62%
SMT_real_LIA/ex9240_2400_100.smt2,9.35%
SMT_real_LIA/ex9500_2400_100.smt2,10.18%
SMT_real_LIA/ex9820_2400_100.smt2,9.01%
SMT_real_LIA/ex9900_2400_100.smt2,9.50%
10-vars/problem_2__004.smt2,65.68%
10-vars/problem_2__005.smt2,70.85%
10-vars/problem_2__007.smt2,59.03%
10-vars/problem_2__008.smt2,72.25%
10-vars/problem_2__010.smt2,64.37%
10-vars/problem_2__011.smt2,71.31%
10-vars/problem_2__017.smt2,60.75%
10-vars/problem_2__022.smt2,43.39%
10-vars/problem__005.smt2,69.03%
10-vars/problem__006.smt2,68.13%
10-vars/problem__007.smt2,57.49%
10-vars/problem__010.smt2,74.08%
10-vars/problem__014.smt2,43.85%
10-vars/problem__015.smt2,50.58%
10-vars/problem__023.smt2,53.16%
15-vars/problem_2__001.smt2,74.30%
15-vars/problem_2__003.smt2,74.46%
15-vars/problem_2__006.smt2,73.38%
15-vars/problem_2__007.smt2,73.04%
15-vars/problem_2__008.smt2,77.03%
15-vars/problem_2__009.smt2,69.57%
15-vars/problem_2__015.smt2,45.10%
15-vars/problem_2__023.smt2,49.09%
15-vars/problem__002.smt2,63.57%
15-vars/problem__004.smt2,74.89%
15-vars/problem__010.smt2,73.62%
15-vars/problem__011.smt2,61.28%
15-vars/problem__013.smt2,69.99%
15-vars/problem__017.smt2,19.28%
15-vars/problem__019.smt2,54.93%
20-vars/problem_2__004.smt2,70.73%
20-vars/problem_2__006.smt2,76.97%
20-vars/problem_2__007.smt2,74.75%
20-vars/problem_2__010.smt2,67.76%
20-vars/problem_2__012.smt2,77.04%
20-vars/problem_2__015.smt2,71.52%
20-vars/problem__003.smt2,72.38%
20-vars/problem__004.smt2,74.74%
20-vars/problem__005.smt2,75.20%
20-vars/problem__008.smt2,75.73%
20-vars/problem__009.smt2,74.72%
20-vars/problem__012.smt2,74.04%
20-vars/problem__021.smt2,51.02%
