Filename,Percentage
45-vars/v45_problem_2__008.smt2.slack.smt2,75.03%
45-vars/v45_problem_2__009.smt2.slack.smt2,75.58%
45-vars/v45_problem_2__019.smt2.slack.smt2,70.76%
45-vars/v45_problem_2__021.smt2.slack.smt2,72.26%
45-vars/v45_problem_2__024.smt2.slack.smt2,70.38%
45-vars/v45_problem_2__025.smt2.slack.smt2,70.76%
45-vars/v45_problem_2__027.smt2.slack.smt2,69.43%
45-vars/v45_problem_2__030.smt2.slack.smt2,70.71%
45-vars/v45_problem_2__033.smt2.slack.smt2,66.91%
45-vars/v45_problem__003.smt2.slack.smt2,74.35%
45-vars/v45_problem__009.smt2.slack.smt2,75.12%
45-vars/v45_problem__015.smt2.slack.smt2,75.06%
45-vars/v45_problem__018.smt2.slack.smt2,73.11%
45-vars/v45_problem__022.smt2.slack.smt2,72.10%
SMT_random_LIA/ex14600_2600_100.smt2,12.89%
SMT_random_LIA/ex16300_2600_100.smt2,13.21%
SMT_random_LIA/ex17800_2600_100.smt2,13.23%
SMT_random_LIA/ex18000_2600_100.smt2,13.24%
SMT_random_LIA/ex18900_2600_100.smt2,13.21%
SMT_random_LIA/ex21200_2600_100.smt2,13.17%
SMT_random_LIA/ex21300_2600_100.smt2,13.15%
SMT_random_LIA/ex21900_2600_100.smt2,13.14%
SMT_random_LIA/ex24600_2600_100.smt2,13.15%
SMT_random_LIA/ex25700_2600_100.smt2,13.12%
SMT_random_LIA/ex26100_2600_100.smt2,13.15%
SMT_random_LIA/ex27000_2600_100.smt2,13.15%
SMT_random_LIA/ex28200_2600_100.smt2,13.02%
SMT_random_LIA/ex28300_2600_100.smt2,13.09%
SMT_random_LIA/ex28500_2600_100.smt2,13.12%
SMT_real_LIA/ex5440_2400_100.smt2,11.22%
SMT_real_LIA/ex5460_2400_100.smt2,11.25%
SMT_real_LIA/ex5480_2400_100.smt2,11.20%
SMT_real_LIA/ex5680_2400_100.smt2,11.44%
SMT_real_LIA/ex6120_2400_100.smt2,11.48%
SMT_real_LIA/ex6220_2400_100.smt2,11.50%
SMT_real_LIA/ex8220_2400_100.smt2,11.54%
SMT_real_LIA/ex8440_2400_100.smt2,11.59%
SMT_real_LIA/ex8500_2400_100.smt2,11.55%
SMT_real_LIA/ex8600_2400_100.smt2,11.55%
SMT_real_LIA/ex8820_2400_100.smt2,11.55%
SMT_real_LIA/ex9240_2400_100.smt2,11.52%
SMT_real_LIA/ex9500_2400_100.smt2,11.51%
SMT_real_LIA/ex9820_2400_100.smt2,11.53%
SMT_real_LIA/ex9900_2400_100.smt2,11.54%
10-vars/problem_2__004.smt2,68.11%
10-vars/problem_2__005.smt2,73.47%
10-vars/problem_2__007.smt2,68.96%
10-vars/problem_2__008.smt2,72.25%
10-vars/problem_2__010.smt2,71.11%
10-vars/problem_2__011.smt2,74.77%
10-vars/problem_2__017.smt2,72.13%
10-vars/problem_2__022.smt2,58.92%
10-vars/problem__005.smt2,73.12%
10-vars/problem__006.smt2,72.41%
10-vars/problem__007.smt2,73.41%
10-vars/problem__010.smt2,74.08%
10-vars/problem__014.smt2,59.32%
10-vars/problem__015.smt2,68.57%
10-vars/problem__023.smt2,60.04%
15-vars/problem_2__001.smt2,75.15%
