Filename,Percentage
45-vars/v45_problem_2__008.smt2.slack.smt2,76.00%
45-vars/v45_problem_2__009.smt2.slack.smt2,74.47%
45-vars/v45_problem_2__019.smt2.slack.smt2,57.38%
45-vars/v45_problem_2__021.smt2.slack.smt2,44.49%
45-vars/v45_problem_2__024.smt2.slack.smt2,48.18%
45-vars/v45_problem_2__025.smt2.slack.smt2,49.47%
45-vars/v45_problem_2__027.smt2.slack.smt2,45.72%
45-vars/v45_problem_2__030.smt2.slack.smt2,43.88%
45-vars/v45_problem_2__033.smt2.slack.smt2,48.39%
45-vars/v45_problem__003.smt2.slack.smt2,74.01%
45-vars/v45_problem__009.smt2.slack.smt2,75.10%
45-vars/v45_problem__015.smt2.slack.smt2,75.62%
45-vars/v45_problem__018.smt2.slack.smt2,67.80%
45-vars/v45_problem__022.smt2.slack.smt2,48.90%
SMT_random_LIA/ex14600_2600_100.smt2,8.60%
SMT_random_LIA/ex16300_2600_100.smt2,9.16%
SMT_random_LIA/ex17800_2600_100.smt2,9.51%
SMT_random_LIA/ex18000_2600_100.smt2,10.27%
SMT_random_LIA/ex18900_2600_100.smt2,9.84%
SMT_random_LIA/ex21200_2600_100.smt2,10.78%
SMT_random_LIA/ex21300_2600_100.smt2,9.45%
SMT_random_LIA/ex21900_2600_100.smt2,10.23%
SMT_random_LIA/ex24600_2600_100.smt2,10.54%
SMT_random_LIA/ex25700_2600_100.smt2,9.98%
SMT_random_LIA/ex26100_2600_100.smt2,9.92%
SMT_random_LIA/ex27000_2600_100.smt2,9.85%
SMT_random_LIA/ex28200_2600_100.smt2,10.53%
SMT_random_LIA/ex28300_2600_100.smt2,9.46%
SMT_random_LIA/ex28500_2600_100.smt2,9.78%
SMT_real_LIA/ex5440_2400_100.smt2,7.99%
SMT_real_LIA/ex5460_2400_100.smt2,8.18%
SMT_real_LIA/ex5480_2400_100.smt2,7.64%
SMT_real_LIA/ex5680_2400_100.smt2,7.55%
SMT_real_LIA/ex6120_2400_100.smt2,8.58%
SMT_real_LIA/ex6220_2400_100.smt2,8.53%
SMT_real_LIA/ex8220_2400_100.smt2,9.04%
SMT_real_LIA/ex8440_2400_100.smt2,9.09%
SMT_real_LIA/ex8500_2400_100.smt2,9.34%
SMT_real_LIA/ex8600_2400_100.smt2,9.89%
SMT_real_LIA/ex8820_2400_100.smt2,9.07%
SMT_real_LIA/ex9240_2400_100.smt2,9.11%
SMT_real_LIA/ex9500_2400_100.smt2,9.42%
SMT_real_LIA/ex9820_2400_100.smt2,9.35%
SMT_real_LIA/ex9900_2400_100.smt2,9.90%
10-vars/problem_2__004.smt2,68.11%
10-vars/problem_2__005.smt2,71.05%
10-vars/problem_2__007.smt2,69.02%
10-vars/problem_2__008.smt2,71.37%
10-vars/problem_2__010.smt2,69.43%
10-vars/problem_2__011.smt2,74.90%
10-vars/problem_2__017.smt2,66.77%
10-vars/problem_2__022.smt2,63.78%
10-vars/problem__005.smt2,72.15%
10-vars/problem__006.smt2,71.53%
10-vars/problem__007.smt2,73.47%
10-vars/problem__010.smt2,69.69%
10-vars/problem__014.smt2,59.45%
10-vars/problem__015.smt2,67.34%
10-vars/problem__023.smt2,63.71%
15-vars/problem_2__001.smt2,74.07%
15-vars/problem_2__003.smt2,74.12%
15-vars/problem_2__006.smt2,73.40%
15-vars/problem_2__007.smt2,73.81%
15-vars/problem_2__008.smt2,76.92%
15-vars/problem_2__009.smt2,74.99%
15-vars/problem_2__015.smt2,63.26%
15-vars/problem_2__023.smt2,68.35%
15-vars/problem__002.smt2,74.64%
15-vars/problem__004.smt2,75.58%
15-vars/problem__010.smt2,75.91%
15-vars/problem__011.smt2,70.74%
15-vars/problem__013.smt2,74.87%
15-vars/problem__017.smt2,19.28%
15-vars/problem__019.smt2,71.21%
20-vars/problem_2__004.smt2,76.76%
20-vars/problem_2__006.smt2,76.19%
20-vars/problem_2__007.smt2,74.79%
20-vars/problem_2__010.smt2,74.79%
20-vars/problem_2__012.smt2,75.55%
20-vars/problem_2__015.smt2,70.98%
20-vars/problem__003.smt2,74.10%
20-vars/problem__004.smt2,75.39%
20-vars/problem__005.smt2,74.72%
20-vars/problem__008.smt2,75.70%
20-vars/problem__009.smt2,75.20%
20-vars/problem__012.smt2,75.99%
20-vars/problem__021.smt2,66.17%
20-vars/problem__024.smt2,68.52%
20-vars/problem__028.smt2,52.68%
25-vars/problem_2__002.smt2,75.29%
25-vars/problem_2__003.smt2,75.29%
25-vars/problem_2__008.smt2,75.99%
25-vars/problem_2__011.smt2,75.69%
25-vars/problem_2__016.smt2,49.89%
25-vars/problem_2__018.smt2,69.70%
25-vars/problem_2__024.smt2,41.05%
25-vars/problem_2__025.smt2,44.84%
25-vars/problem_2__026.smt2,23.56%
25-vars/problem_2__032.smt2,20.91%
25-vars/problem__004.smt2,75.26%
25-vars/problem__012.smt2,52.77%
25-vars/problem__019.smt2,41.57%
25-vars/problem__029.smt2,21.13%
25-vars/problem__035.smt2,18.44%
30-vars/problem_2__005.smt2,74.63%
30-vars/problem_2__010.smt2,75.45%
30-vars/problem_2__016.smt2,24.47%
30-vars/problem_2__021.smt2,45.44%
30-vars/problem_2__022.smt2,26.88%
30-vars/problem_2__035.smt2,22.11%
30-vars/problem__003.smt2,75.58%
30-vars/problem__004.smt2,75.08%
30-vars/problem__010.smt2,76.33%
30-vars/problem__012.smt2,54.77%
30-vars/problem__015.smt2,36.83%
30-vars/problem__017.smt2,38.84%
30-vars/problem__020.smt2,31.24%
30-vars/problem__027.smt2,47.26%
30-vars/problem__035.smt2,21.75%
35-vars/problem_2__007.smt2,62.11%
35-vars/problem_2__015.smt2,33.83%
35-vars/problem_2__017.smt2,35.55%
35-vars/problem_2__019.smt2,36.36%
35-vars/problem_2__022.smt2,31.22%
35-vars/problem_2__026.smt2,23.36%
35-vars/problem_2__029.smt2,24.96%
35-vars/problem_2__033.smt2,30.13%
35-vars/problem__003.smt2,75.23%
35-vars/problem__004.smt2,76.00%
35-vars/problem__006.smt2,74.63%
35-vars/problem__010.smt2,74.84%
35-vars/problem__016.smt2,58.00%
35-vars/problem__019.smt2,43.87%
35-vars/problem__035.smt2,24.38%
40-vars/problem_2__003.smt2,75.20%
40-vars/problem_2__006.smt2,63.33%
40-vars/problem_2__007.smt2,75.26%
40-vars/problem_2__020.smt2,32.60%
40-vars/problem_2__023.smt2,28.72%
40-vars/problem_2__025.smt2,34.94%
40-vars/problem_2__029.smt2,29.67%
40-vars/problem_2__032.smt2,28.52%
40-vars/problem_2__034.smt2,22.79%
40-vars/problem__004.smt2,74.34%
40-vars/problem__009.smt2,75.59%
40-vars/problem__012.smt2,60.27%
40-vars/problem__015.smt2,37.60%
40-vars/problem__017.smt2,34.84%
40-vars/problem__032.smt2,25.71%
45-vars/problem_2__004.smt2,75.63%
45-vars/problem_2__007.smt2,74.73%
45-vars/problem_2__011.smt2,44.75%
45-vars/problem_2__017.smt2,38.49%
45-vars/problem_2__020.smt2,42.29%
45-vars/problem_2__021.smt2,34.80%
45-vars/problem_2__024.smt2,34.58%
45-vars/problem_2__034.smt2,29.25%
45-vars/problem__007.smt2,67.35%
45-vars/problem__015.smt2,45.78%
45-vars/problem__018.smt2,41.10%
45-vars/problem__028.smt2,31.14%
45-vars/problem__029.smt2,39.57%
45-vars/problem__030.smt2,31.19%
45-vars/problem__033.smt2,34.13%
convert/convert-jpg2gif-query-1140.smt2,25.15%
convert/convert-jpg2gif-query-1145.smt2,25.56%
convert/convert-jpg2gif-query-1146.smt2,23.19%
convert/convert-jpg2gif-query-1152.smt2,27.58%
convert/convert-jpg2gif-query-1164.smt2,27.05%
convert/convert-jpg2gif-query-1191.smt2,17.07%
convert/convert-jpg2gif-query-1203.smt2,11.67%
convert/convert-jpg2gif-query-1358.smt2,10.84%
convert/convert-jpg2gif-query-1365.smt2,0.00%
convert/convert-jpg2gif-query-1370.smt2,15.43%
convert/convert-jpg2gif-query-1372.smt2,11.41%
convert/convert-jpg2gif-query-1423.smt2,19.03%
convert/convert-jpg2gif-query-1459.smt2,11.26%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1590.smt2,0.00%
dillig/10-21.smt2,78.38%
dillig/15-20.smt2,85.25%
dillig/25-26.smt2,19.98%
dillig/25-9.smt2,90.51%
dillig/30-12.smt2,23.66%
dillig/30-23.smt2,14.00%
dillig/30-28.smt2,16.04%
dillig/35-11.smt2,22.98%
dillig/40-10.smt2,90.83%
dillig/40-17.smt2,30.56%
dillig/40-25.smt2,39.24%
dillig/40-35.smt2,24.70%
dillig/40-4.smt2,92.38%
dillig/45-26.smt2,19.17%
dillig/45-28.smt2,24.77%
pb2010/normalized-1096.cudf.paranoid.smt2,11.34%
pb2010/normalized-j3024_4-sat.smt2,4.87%
pb2010/normalized-j3025_1-sat.smt2,0.00%
pb2010/normalized-j3025_7-sat.smt2,0.00%
pb2010/normalized-j3027_8-sat.smt2,3.44%
pb2010/normalized-j3031_7-sat.smt2,3.13%
pb2010/normalized-j3037_5-sat.smt2,0.80%
pb2010/normalized-j3048_8-sat.smt2,2.10%
pb2010/normalized-j308_6-sat.smt2,5.67%
pb2010/normalized-j6015_4-sat.smt2,2.04%
pb2010/normalized-j6018_3-sat.smt2,2.60%
pb2010/normalized-j6022_1-sat.smt2,2.10%
pb2010/normalized-j6035_10-sat.smt2,2.27%
pb2010/normalized-j6040_1-sat.smt2,2.82%
pb2010/normalized-j6048_4-sat.smt2,0.65%
prime-cone/prime_cone_sat_10.smt2,48.28%
prime-cone/prime_cone_sat_13.smt2,50.79%
prime-cone/prime_cone_sat_14.smt2,51.84%
prime-cone/prime_cone_sat_15.smt2,51.70%
prime-cone/prime_cone_sat_17.smt2,52.80%
prime-cone/prime_cone_sat_19.smt2,53.75%
prime-cone/prime_cone_sat_2.smt2,33.88%
prime-cone/prime_cone_sat_20.smt2,53.99%
prime-cone/prime_cone_sat_3.smt2,36.06%
prime-cone/prime_cone_sat_4.smt2,38.91%
prime-cone/prime_cone_sat_5.smt2,41.22%
prime-cone/prime_cone_sat_6.smt2,43.05%
prime-cone/prime_cone_sat_7.smt2,44.61%
prime-cone/prime_cone_sat_8.smt2,46.15%
prime-cone/prime_cone_sat_9.smt2,47.15%
slacks/10-13.slack.smt2,66.27%
slacks/15-13.slack.smt2,69.01%
slacks/15-5.slack.smt2,68.03%
slacks/15-7.slack.smt2,69.23%
slacks/20-19.slack.smt2,35.16%
slacks/25-17.slack.smt2,71.35%
slacks/30-10.slack.smt2,73.56%
slacks/35-25.slack.smt2,66.03%
slacks/35-5.slack.smt2,73.51%
slacks/40-14.slack.smt2,74.72%
slacks/40-9.slack.smt2,74.34%
slacks/45-14.slack.smt2,73.43%
slacks/45-24.slack.smt2,54.86%
slacks/45-26.slack.smt2,44.79%
slacks/45-34.slack.smt2,49.83%
