Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,84.39%
10-vars/v10_problem_2__007.smt2.slack.smt2,89.54%
10-vars/v10_problem_2__010.smt2.slack.smt2,90.41%
10-vars/v10_problem_2__013.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__014.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__015.smt2.slack.smt2,90.55%
10-vars/v10_problem_2__018.smt2.slack.smt2,89.75%
10-vars/v10_problem__003.smt2.slack.smt2,92.01%
10-vars/v10_problem__006.smt2.slack.smt2,89.46%
10-vars/v10_problem__009.smt2.slack.smt2,87.67%
10-vars/v10_problem__012.smt2.slack.smt2,92.22%
10-vars/v10_problem__014.smt2.slack.smt2,38.17%
10-vars/v10_problem__015.smt2.slack.smt2,91.86%
10-vars/v10_problem__018.smt2.slack.smt2,0.0%
10-vars/v10_problem__019.smt2.slack.smt2,89.84%
15-vars/v15_problem_2__009.smt2.slack.smt2,92.2%
15-vars/v15_problem_2__013.smt2.slack.smt2,92.54%
15-vars/v15_problem_2__014.smt2.slack.smt2,33.65%
15-vars/v15_problem_2__015.smt2.slack.smt2,0.0%
15-vars/v15_problem_2__016.smt2.slack.smt2,0.0%
15-vars/v15_problem_2__018.smt2.slack.smt2,35.14%
15-vars/v15_problem__003.smt2.slack.smt2,93.56%
15-vars/v15_problem__005.smt2.slack.smt2,92.15%
15-vars/v15_problem__006.smt2.slack.smt2,91.03%
15-vars/v15_problem__007.smt2.slack.smt2,92.44%
15-vars/v15_problem__008.smt2.slack.smt2,93.88%
15-vars/v15_problem__011.smt2.slack.smt2,46.01%
15-vars/v15_problem__014.smt2.slack.smt2,94.71%
15-vars/v15_problem__017.smt2.slack.smt2,0.0%
15-vars/v15_problem__021.smt2.slack.smt2,93.55%
20-vars/v20_problem_2__005.smt2.slack.smt2,93.3%
20-vars/v20_problem_2__012.smt2.slack.smt2,94.83%
20-vars/v20_problem_2__013.smt2.slack.smt2,95.58%
20-vars/v20_problem_2__016.smt2.slack.smt2,95.84%
20-vars/v20_problem_2__018.smt2.slack.smt2,39.32%
20-vars/v20_problem_2__035.smt2.slack.smt2,38.52%
20-vars/v20_problem__001.smt2.slack.smt2,93.83%
20-vars/v20_problem__002.smt2.slack.smt2,95.08%
20-vars/v20_problem__004.smt2.slack.smt2,93.78%
20-vars/v20_problem__010.smt2.slack.smt2,94.27%
20-vars/v20_problem__011.smt2.slack.smt2,55.18%
20-vars/v20_problem__020.smt2.slack.smt2,45.78%
20-vars/v20_problem__021.smt2.slack.smt2,49.55%
20-vars/v20_problem__028.smt2.slack.smt2,30.86%
20-vars/v20_problem__030.smt2.slack.smt2,95.05%
25-vars/v25_problem_2__014.smt2.slack.smt2,95.38%
25-vars/v25_problem_2__019.smt2.slack.smt2,24.38%
25-vars/v25_problem_2__021.smt2.slack.smt2,0.0%
25-vars/v25_problem_2__022.smt2.slack.smt2,64.24%
25-vars/v25_problem_2__023.smt2.slack.smt2,50.1%
25-vars/v25_problem_2__025.smt2.slack.smt2,55.13%
25-vars/v25_problem_2__034.smt2.slack.smt2,0.0%
25-vars/v25_problem__004.smt2.slack.smt2,95.8%
25-vars/v25_problem__005.smt2.slack.smt2,0.0%
25-vars/v25_problem__008.smt2.slack.smt2,94.65%
25-vars/v25_problem__013.smt2.slack.smt2,94.99%
25-vars/v25_problem__014.smt2.slack.smt2,45.33%
25-vars/v25_problem__016.smt2.slack.smt2,54.53%
25-vars/v25_problem__017.smt2.slack.smt2,52.62%
25-vars/v25_problem__033.smt2.slack.smt2,34.65%
30-vars/v30_problem_2__008.smt2.slack.smt2,95.42%
30-vars/v30_problem_2__010.smt2.slack.smt2,95.52%
30-vars/v30_problem_2__012.smt2.slack.smt2,95.79%
30-vars/v30_problem_2__014.smt2.slack.smt2,95.63%
30-vars/v30_problem_2__017.smt2.slack.smt2,53.11%
30-vars/v30_problem_2__018.smt2.slack.smt2,95.87%
30-vars/v30_problem_2__020.smt2.slack.smt2,60.07%
30-vars/v30_problem_2__024.smt2.slack.smt2,95.27%
30-vars/v30_problem__004.smt2.slack.smt2,95.32%
30-vars/v30_problem__006.smt2.slack.smt2,95.47%
30-vars/v30_problem__009.smt2.slack.smt2,48.29%
30-vars/v30_problem__013.smt2.slack.smt2,94.91%
30-vars/v30_problem__017.smt2.slack.smt2,60.81%
30-vars/v30_problem__024.smt2.slack.smt2,13.21%
30-vars/v30_problem__026.smt2.slack.smt2,0.0%
35-vars/v35_problem_2__004.smt2.slack.smt2,95.85%
35-vars/v35_problem_2__021.smt2.slack.smt2,50.11%
35-vars/v35_problem_2__023.smt2.slack.smt2,59.4%
35-vars/v35_problem_2__026.smt2.slack.smt2,50.75%
35-vars/v35_problem_2__028.smt2.slack.smt2,96.4%
35-vars/v35_problem_2__034.smt2.slack.smt2,56.32%
35-vars/v35_problem__004.smt2.slack.smt2,95.66%
35-vars/v35_problem__006.smt2.slack.smt2,95.72%
35-vars/v35_problem__013.smt2.slack.smt2,65.29%
35-vars/v35_problem__015.smt2.slack.smt2,96.04%
35-vars/v35_problem__016.smt2.slack.smt2,96.3%
35-vars/v35_problem__018.smt2.slack.smt2,75.51%
35-vars/v35_problem__026.smt2.slack.smt2,50.26%
35-vars/v35_problem__028.smt2.slack.smt2,23.18%
35-vars/v35_problem__030.smt2.slack.smt2,0.0%
40-vars/v40_problem_2__009.smt2.slack.smt2,95.6%
40-vars/v40_problem_2__017.smt2.slack.smt2,0.0%
40-vars/v40_problem_2__018.smt2.slack.smt2,51.27%
40-vars/v40_problem_2__020.smt2.slack.smt2,58.18%
40-vars/v40_problem_2__022.smt2.slack.smt2,96.51%
40-vars/v40_problem_2__023.smt2.slack.smt2,59.3%
40-vars/v40_problem_2__027.smt2.slack.smt2,47.91%
40-vars/v40_problem_2__034.smt2.slack.smt2,54.39%
40-vars/v40_problem_2__035.smt2.slack.smt2,83.96%
40-vars/v40_problem__004.smt2.slack.smt2,96.14%
40-vars/v40_problem__008.smt2.slack.smt2,96.36%
40-vars/v40_problem__022.smt2.slack.smt2,0.0%
40-vars/v40_problem__024.smt2.slack.smt2,0.0%
40-vars/v40_problem__025.smt2.slack.smt2,0.0%
40-vars/v40_problem__032.smt2.slack.smt2,96.79%
45-vars/v45_problem_2__001.smt2.slack.smt2,96.42%
45-vars/v45_problem_2__008.smt2.slack.smt2,96.46%
45-vars/v45_problem_2__009.smt2.slack.smt2,96.66%
45-vars/v45_problem_2__019.smt2.slack.smt2,65.78%
45-vars/v45_problem_2__021.smt2.slack.smt2,58.41%
45-vars/v45_problem_2__024.smt2.slack.smt2,12.96%
45-vars/v45_problem_2__025.smt2.slack.smt2,60.0%
45-vars/v45_problem_2__027.smt2.slack.smt2,58.09%
45-vars/v45_problem_2__030.smt2.slack.smt2,96.97%
45-vars/v45_problem_2__033.smt2.slack.smt2,96.95%
45-vars/v45_problem__003.smt2.slack.smt2,96.38%
45-vars/v45_problem__009.smt2.slack.smt2,96.54%
45-vars/v45_problem__015.smt2.slack.smt2,23.22%
45-vars/v45_problem__018.smt2.slack.smt2,71.04%
45-vars/v45_problem__022.smt2.slack.smt2,60.53%
SMT_random_LIA/ex14600_2600_100.smt2,12.17%
SMT_random_LIA/ex16300_2600_100.smt2,8.84%
SMT_random_LIA/ex17800_2600_100.smt2,6.84%
SMT_random_LIA/ex18000_2600_100.smt2,7.12%
SMT_random_LIA/ex18900_2600_100.smt2,7.45%
SMT_random_LIA/ex21200_2600_100.smt2,4.33%
SMT_random_LIA/ex21300_2600_100.smt2,5.33%
SMT_random_LIA/ex21900_2600_100.smt2,6.47%
SMT_random_LIA/ex24600_2600_100.smt2,3.14%
SMT_random_LIA/ex25700_2600_100.smt2,3.72%
SMT_random_LIA/ex26100_2600_100.smt2,4.92%
SMT_random_LIA/ex27000_2600_100.smt2,5.84%
SMT_random_LIA/ex28200_2600_100.smt2,3.76%
SMT_random_LIA/ex28300_2600_100.smt2,3.76%
SMT_random_LIA/ex28500_2600_100.smt2,7.12%
SMT_real_LIA/ex5440_2400_100.smt2,10.63%
SMT_real_LIA/ex5460_2400_100.smt2,10.51%
SMT_real_LIA/ex5480_2400_100.smt2,10.59%
SMT_real_LIA/ex5680_2400_100.smt2,10.94%
SMT_real_LIA/ex6120_2400_100.smt2,11.11%
SMT_real_LIA/ex6220_2400_100.smt2,11.04%
SMT_real_LIA/ex8220_2400_100.smt2,10.53%
SMT_real_LIA/ex8440_2400_100.smt2,9.38%
SMT_real_LIA/ex8500_2400_100.smt2,9.59%
SMT_real_LIA/ex8600_2400_100.smt2,10.45%
SMT_real_LIA/ex8820_2400_100.smt2,9.72%
SMT_real_LIA/ex9240_2400_100.smt2,9.92%
SMT_real_LIA/ex9500_2400_100.smt2,10.16%
SMT_real_LIA/ex9820_2400_100.smt2,10.09%
SMT_real_LIA/ex9900_2400_100.smt2,9.57%
10-vars/problem_2__004.smt2,65.79%
10-vars/problem_2__005.smt2,70.97%
10-vars/problem_2__007.smt2,71.73%
10-vars/problem_2__008.smt2,72.37%
10-vars/problem_2__010.smt2,74.73%
10-vars/problem_2__011.smt2,0.0%
10-vars/problem_2__017.smt2,78.93%
10-vars/problem_2__022.smt2,0.0%
10-vars/problem__005.smt2,73.16%
10-vars/problem__006.smt2,73.41%
10-vars/problem__007.smt2,75.21%
10-vars/problem__010.smt2,74.33%
10-vars/problem__014.smt2,40.82%
10-vars/problem__015.smt2,77.23%
10-vars/problem__023.smt2,35.24%
15-vars/problem_2__001.smt2,76.36%
15-vars/problem_2__003.smt2,76.36%
15-vars/problem_2__006.smt2,0.0%
15-vars/problem_2__007.smt2,0.0%
15-vars/problem_2__008.smt2,77.99%
15-vars/problem_2__009.smt2,77.99%
15-vars/problem_2__015.smt2,0.0%
15-vars/problem_2__023.smt2,0.0%
15-vars/problem__002.smt2,76.36%
15-vars/problem__004.smt2,0.0%
15-vars/problem__010.smt2,77.99%
15-vars/problem__011.smt2,0.0%
15-vars/problem__013.smt2,79.17%
15-vars/problem__017.smt2,0.0%
15-vars/problem__019.smt2,48.58%
20-vars/problem_2__004.smt2,77.19%
20-vars/problem_2__006.smt2,78.2%
20-vars/problem_2__007.smt2,66.45%
20-vars/problem_2__010.smt2,78.4%
20-vars/problem_2__012.smt2,79.3%
20-vars/problem_2__015.smt2,0.0%
20-vars/problem__003.smt2,77.41%
20-vars/problem__004.smt2,77.41%
20-vars/problem__005.smt2,77.4%
20-vars/problem__008.smt2,78.4%
20-vars/problem__009.smt2,78.4%
20-vars/problem__012.smt2,79.3%
20-vars/problem__021.smt2,46.29%
20-vars/problem__024.smt2,57.29%
20-vars/problem__028.smt2,16.48%
25-vars/problem_2__002.smt2,77.02%
25-vars/problem_2__003.smt2,77.02%
25-vars/problem_2__008.smt2,77.69%
25-vars/problem_2__011.smt2,78.65%
25-vars/problem_2__016.smt2,79.38%
25-vars/problem_2__018.smt2,79.38%
25-vars/problem_2__024.smt2,72.65%
25-vars/problem_2__025.smt2,67.63%
25-vars/problem_2__026.smt2,58.27%
25-vars/problem_2__032.smt2,43.85%
25-vars/problem__004.smt2,77.02%
25-vars/problem__012.smt2,71.1%
25-vars/problem__019.smt2,64.81%
25-vars/problem__029.smt2,47.65%
25-vars/problem__035.smt2,47.1%
30-vars/problem_2__005.smt2,76.74%
30-vars/problem_2__010.smt2,77.48%
30-vars/problem_2__016.smt2,45.27%
30-vars/problem_2__021.smt2,79.43%
30-vars/problem_2__022.smt2,79.43%
30-vars/problem_2__035.smt2,62.8%
30-vars/problem__003.smt2,76.74%
30-vars/problem__004.smt2,76.58%
30-vars/problem__010.smt2,77.48%
30-vars/problem__012.smt2,78.18%
30-vars/problem__015.smt2,78.18%
30-vars/problem__017.smt2,0.0%
30-vars/problem__020.smt2,75.61%
30-vars/problem__027.smt2,66.83%
30-vars/problem__035.smt2,0.0%
35-vars/problem_2__007.smt2,77.19%
35-vars/problem_2__015.smt2,77.81%
35-vars/problem_2__017.smt2,74.04%
35-vars/problem_2__019.smt2,77.37%
35-vars/problem_2__022.smt2,78.95%
35-vars/problem_2__026.smt2,0.0%
35-vars/problem_2__029.smt2,0.0%
35-vars/problem_2__033.smt2,79.97%
35-vars/problem__003.smt2,76.53%
35-vars/problem__004.smt2,76.53%
35-vars/problem__006.smt2,77.19%
35-vars/problem__010.smt2,77.19%
35-vars/problem__016.smt2,78.4%
35-vars/problem__019.smt2,78.4%
35-vars/problem__035.smt2,68.76%
40-vars/problem_2__003.smt2,76.36%
40-vars/problem_2__006.smt2,76.95%
40-vars/problem_2__007.smt2,76.83%
40-vars/problem_2__020.smt2,0.0%
40-vars/problem_2__023.smt2,72.89%
40-vars/problem_2__025.smt2,0.0%
40-vars/problem_2__029.smt2,66.63%
40-vars/problem_2__032.smt2,0.0%
40-vars/problem_2__034.smt2,0.0%
40-vars/problem__004.smt2,76.23%
40-vars/problem__009.smt2,76.95%
40-vars/problem__012.smt2,58.73%
40-vars/problem__015.smt2,0.0%
40-vars/problem__017.smt2,78.05%
40-vars/problem__032.smt2,58.72%
45-vars/problem_2__004.smt2,76.23%
45-vars/problem_2__007.smt2,76.66%
45-vars/problem_2__011.smt2,77.28%
45-vars/problem_2__017.smt2,73.35%
45-vars/problem_2__020.smt2,77.78%
45-vars/problem_2__021.smt2,0.0%
45-vars/problem_2__024.smt2,0.0%
45-vars/problem_2__034.smt2,0.0%
45-vars/problem__007.smt2,66.17%
45-vars/problem__015.smt2,77.28%
45-vars/problem__018.smt2,53.56%
45-vars/problem__028.smt2,0.0%
45-vars/problem__029.smt2,76.16%
45-vars/problem__030.smt2,0.0%
45-vars/problem__033.smt2,0.0%
convert/convert-jpg2gif-query-1140.smt2,17.73%
convert/convert-jpg2gif-query-1145.smt2,16.94%
convert/convert-jpg2gif-query-1146.smt2,16.62%
convert/convert-jpg2gif-query-1152.smt2,16.62%
convert/convert-jpg2gif-query-1164.smt2,17.16%
convert/convert-jpg2gif-query-1191.smt2,18.86%
convert/convert-jpg2gif-query-1203.smt2,18.88%
convert/convert-jpg2gif-query-1358.smt2,0.0%
convert/convert-jpg2gif-query-1365.smt2,11.73%
convert/convert-jpg2gif-query-1370.smt2,13.03%
convert/convert-jpg2gif-query-1372.smt2,11.67%
convert/convert-jpg2gif-query-1423.smt2,12.73%
convert/convert-jpg2gif-query-1459.smt2,10.01%
convert/convert-jpg2gif-query-1561.smt2,12.56%
convert/convert-jpg2gif-query-1590.smt2,12.48%
dillig/10-21.smt2,79.46%
dillig/15-20.smt2,0.0%
dillig/25-26.smt2,80.77%
dillig/25-9.smt2,93.47%
dillig/30-12.smt2,92.95%
dillig/30-23.smt2,90.41%
dillig/30-28.smt2,0.0%
dillig/35-11.smt2,94.41%
dillig/40-10.smt2,93.84%
dillig/40-17.smt2,0.0%
dillig/40-25.smt2,94.58%
dillig/40-35.smt2,0.0%
dillig/40-4.smt2,93.0%
dillig/45-26.smt2,0.0%
dillig/45-28.smt2,88.28%
pb2010/normalized-1096.cudf.paranoid.smt2,0.0%
pb2010/normalized-j3024_4-sat.smt2,0.0%
pb2010/normalized-j3025_1-sat.smt2,2.42%
pb2010/normalized-j3025_7-sat.smt2,0.03%
pb2010/normalized-j3027_8-sat.smt2,0.0%
pb2010/normalized-j3031_7-sat.smt2,0.0%
pb2010/normalized-j3037_5-sat.smt2,0.0%
pb2010/normalized-j3048_8-sat.smt2,0.0%
pb2010/normalized-j308_6-sat.smt2,0.0%
pb2010/normalized-j6015_4-sat.smt2,0.0%
pb2010/normalized-j6018_3-sat.smt2,0.0%
pb2010/normalized-j6022_1-sat.smt2,0.0%
pb2010/normalized-j6035_10-sat.smt2,0.0%
pb2010/normalized-j6040_1-sat.smt2,0.0%
pb2010/normalized-j6048_4-sat.smt2,0.0%
prime-cone/prime_cone_sat_10.smt2,76.76%
prime-cone/prime_cone_sat_13.smt2,78.32%
prime-cone/prime_cone_sat_14.smt2,83.34%
prime-cone/prime_cone_sat_15.smt2,24.99%
prime-cone/prime_cone_sat_17.smt2,85.61%
prime-cone/prime_cone_sat_19.smt2,86.84%
prime-cone/prime_cone_sat_2.smt2,24.95%
prime-cone/prime_cone_sat_20.smt2,83.95%
prime-cone/prime_cone_sat_3.smt2,16.94%
prime-cone/prime_cone_sat_4.smt2,0.0%
prime-cone/prime_cone_sat_5.smt2,67.3%
prime-cone/prime_cone_sat_6.smt2,53.52%
prime-cone/prime_cone_sat_7.smt2,0.0%
prime-cone/prime_cone_sat_8.smt2,72.04%
prime-cone/prime_cone_sat_9.smt2,14.83%
slacks/10-13.slack.smt2,92.08%
slacks/15-13.slack.smt2,54.1%
slacks/15-5.slack.smt2,92.15%
slacks/15-7.slack.smt2,92.49%
slacks/20-19.slack.smt2,41.73%
slacks/25-17.slack.smt2,46.55%
slacks/30-10.slack.smt2,0.0%
slacks/35-25.slack.smt2,65.9%
slacks/35-5.slack.smt2,95.82%
slacks/40-14.slack.smt2,96.37%
slacks/40-9.slack.smt2,96.33%
slacks/45-14.slack.smt2,96.7%
slacks/45-24.slack.smt2,96.81%
slacks/45-26.slack.smt2,96.4%
slacks/45-34.slack.smt2,96.48%
