Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__007.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__010.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__013.smt2.slack.smt2,31.02%
10-vars/v10_problem_2__014.smt2.slack.smt2,0.0%
10-vars/v10_problem_2__015.smt2.slack.smt2,33.17%
10-vars/v10_problem_2__018.smt2.slack.smt2,0.0%
10-vars/v10_problem__003.smt2.slack.smt2,0.0%
10-vars/v10_problem__006.smt2.slack.smt2,0.0%
10-vars/v10_problem__009.smt2.slack.smt2,34.91%
10-vars/v10_problem__012.smt2.slack.smt2,0.0%
10-vars/v10_problem__014.smt2.slack.smt2,34.88%
10-vars/v10_problem__015.smt2.slack.smt2,42.58%
10-vars/v10_problem__018.smt2.slack.smt2,32.29%
10-vars/v10_problem__019.smt2.slack.smt2,29.04%
15-vars/v15_problem_2__009.smt2.slack.smt2,0.0%
15-vars/v15_problem_2__013.smt2.slack.smt2,50.09%
15-vars/v15_problem_2__014.smt2.slack.smt2,65.19%
15-vars/v15_problem_2__015.smt2.slack.smt2,68.41%
15-vars/v15_problem_2__016.smt2.slack.smt2,52.53%
15-vars/v15_problem_2__018.smt2.slack.smt2,48.2%
15-vars/v15_problem__003.smt2.slack.smt2,48.01%
15-vars/v15_problem__005.smt2.slack.smt2,0.0%
15-vars/v15_problem__006.smt2.slack.smt2,0.0%
15-vars/v15_problem__007.smt2.slack.smt2,50.91%
15-vars/v15_problem__008.smt2.slack.smt2,0.0%
15-vars/v15_problem__011.smt2.slack.smt2,46.73%
15-vars/v15_problem__014.smt2.slack.smt2,53.75%
15-vars/v15_problem__017.smt2.slack.smt2,24.12%
15-vars/v15_problem__021.smt2.slack.smt2,46.01%
20-vars/v20_problem_2__005.smt2.slack.smt2,42.4%
20-vars/v20_problem_2__012.smt2.slack.smt2,54.05%
20-vars/v20_problem_2__013.smt2.slack.smt2,56.67%
20-vars/v20_problem_2__016.smt2.slack.smt2,46.19%
20-vars/v20_problem_2__018.smt2.slack.smt2,50.46%
20-vars/v20_problem_2__035.smt2.slack.smt2,95.21%
20-vars/v20_problem__001.smt2.slack.smt2,0.0%
20-vars/v20_problem__002.smt2.slack.smt2,49.9%
20-vars/v20_problem__004.smt2.slack.smt2,0.0%
20-vars/v20_problem__010.smt2.slack.smt2,0.0%
20-vars/v20_problem__011.smt2.slack.smt2,56.54%
20-vars/v20_problem__020.smt2.slack.smt2,52.18%
20-vars/v20_problem__021.smt2.slack.smt2,52.65%
20-vars/v20_problem__028.smt2.slack.smt2,0.0%
20-vars/v20_problem__030.smt2.slack.smt2,56.37%
25-vars/v25_problem_2__014.smt2.slack.smt2,57.11%
25-vars/v25_problem_2__019.smt2.slack.smt2,54.0%
25-vars/v25_problem_2__021.smt2.slack.smt2,93.95%
25-vars/v25_problem_2__022.smt2.slack.smt2,56.13%
25-vars/v25_problem_2__023.smt2.slack.smt2,53.76%
25-vars/v25_problem_2__025.smt2.slack.smt2,57.09%
25-vars/v25_problem_2__034.smt2.slack.smt2,70.33%
25-vars/v25_problem__004.smt2.slack.smt2,50.15%
25-vars/v25_problem__005.smt2.slack.smt2,0.0%
25-vars/v25_problem__008.smt2.slack.smt2,55.27%
25-vars/v25_problem__013.smt2.slack.smt2,53.83%
25-vars/v25_problem__014.smt2.slack.smt2,52.13%
25-vars/v25_problem__016.smt2.slack.smt2,53.64%
25-vars/v25_problem__017.smt2.slack.smt2,55.9%
25-vars/v25_problem__033.smt2.slack.smt2,95.06%
30-vars/v30_problem_2__008.smt2.slack.smt2,57.89%
30-vars/v30_problem_2__010.smt2.slack.smt2,53.81%
30-vars/v30_problem_2__012.smt2.slack.smt2,56.8%
30-vars/v30_problem_2__014.smt2.slack.smt2,0.0%
30-vars/v30_problem_2__017.smt2.slack.smt2,60.26%
30-vars/v30_problem_2__018.smt2.slack.smt2,59.59%
30-vars/v30_problem_2__020.smt2.slack.smt2,61.67%
30-vars/v30_problem_2__024.smt2.slack.smt2,59.49%
30-vars/v30_problem__004.smt2.slack.smt2,54.88%
30-vars/v30_problem__006.smt2.slack.smt2,56.14%
30-vars/v30_problem__009.smt2.slack.smt2,48.42%
30-vars/v30_problem__013.smt2.slack.smt2,56.21%
30-vars/v30_problem__017.smt2.slack.smt2,59.16%
30-vars/v30_problem__024.smt2.slack.smt2,55.3%
30-vars/v30_problem__026.smt2.slack.smt2,60.17%
35-vars/v35_problem_2__004.smt2.slack.smt2,54.59%
35-vars/v35_problem_2__021.smt2.slack.smt2,71.61%
35-vars/v35_problem_2__023.smt2.slack.smt2,62.84%
35-vars/v35_problem_2__026.smt2.slack.smt2,59.32%
35-vars/v35_problem_2__028.smt2.slack.smt2,55.25%
35-vars/v35_problem_2__034.smt2.slack.smt2,56.74%
35-vars/v35_problem__004.smt2.slack.smt2,0.0%
35-vars/v35_problem__006.smt2.slack.smt2,58.26%
35-vars/v35_problem__013.smt2.slack.smt2,60.83%
35-vars/v35_problem__015.smt2.slack.smt2,62.6%
35-vars/v35_problem__016.smt2.slack.smt2,64.22%
35-vars/v35_problem__018.smt2.slack.smt2,67.9%
35-vars/v35_problem__026.smt2.slack.smt2,68.65%
35-vars/v35_problem__028.smt2.slack.smt2,60.17%
35-vars/v35_problem__030.smt2.slack.smt2,61.63%
40-vars/v40_problem_2__009.smt2.slack.smt2,61.62%
40-vars/v40_problem_2__017.smt2.slack.smt2,70.43%
40-vars/v40_problem_2__018.smt2.slack.smt2,65.8%
