Filename,Percentage
10-vars/v10_problem_2__003.smt2.slack.smt2,49.96%
10-vars/v10_problem_2__007.smt2.slack.smt2,43.55%
10-vars/v10_problem_2__010.smt2.slack.smt2,58.66%
10-vars/v10_problem_2__013.smt2.slack.smt2,90.88%
10-vars/v10_problem_2__014.smt2.slack.smt2,87.26%
10-vars/v10_problem_2__015.smt2.slack.smt2,73.89%
10-vars/v10_problem_2__018.smt2.slack.smt2,59.69%
10-vars/v10_problem__003.smt2.slack.smt2,26.03%
10-vars/v10_problem__006.smt2.slack.smt2,13.49%
10-vars/v10_problem__009.smt2.slack.smt2,54.89%
10-vars/v10_problem__012.smt2.slack.smt2,0.0%
10-vars/v10_problem__014.smt2.slack.smt2,91.41%
10-vars/v10_problem__015.smt2.slack.smt2,87.71%
10-vars/v10_problem__018.smt2.slack.smt2,90.7%
10-vars/v10_problem__019.smt2.slack.smt2,89.74%
15-vars/v15_problem_2__009.smt2.slack.smt2,51.92%
15-vars/v15_problem_2__013.smt2.slack.smt2,92.38%
15-vars/v15_problem_2__014.smt2.slack.smt2,93.18%
15-vars/v15_problem_2__015.smt2.slack.smt2,93.06%
15-vars/v15_problem_2__016.smt2.slack.smt2,93.38%
15-vars/v15_problem_2__018.smt2.slack.smt2,93.47%
15-vars/v15_problem__003.smt2.slack.smt2,92.18%
15-vars/v15_problem__005.smt2.slack.smt2,46.21%
15-vars/v15_problem__006.smt2.slack.smt2,76.53%
15-vars/v15_problem__007.smt2.slack.smt2,90.89%
15-vars/v15_problem__008.smt2.slack.smt2,18.87%
15-vars/v15_problem__011.smt2.slack.smt2,93.0%
15-vars/v15_problem__014.smt2.slack.smt2,91.35%
15-vars/v15_problem__017.smt2.slack.smt2,22.42%
15-vars/v15_problem__021.smt2.slack.smt2,93.28%
20-vars/v20_problem_2__005.smt2.slack.smt2,93.02%
20-vars/v20_problem_2__012.smt2.slack.smt2,94.25%
20-vars/v20_problem_2__013.smt2.slack.smt2,95.53%
20-vars/v20_problem_2__016.smt2.slack.smt2,95.82%
20-vars/v20_problem_2__018.smt2.slack.smt2,94.62%
20-vars/v20_problem_2__035.smt2.slack.smt2,95.29%
20-vars/v20_problem__001.smt2.slack.smt2,46.16%
20-vars/v20_problem__002.smt2.slack.smt2,94.97%
20-vars/v20_problem__004.smt2.slack.smt2,87.44%
20-vars/v20_problem__010.smt2.slack.smt2,54.49%
20-vars/v20_problem__011.smt2.slack.smt2,94.48%
20-vars/v20_problem__020.smt2.slack.smt2,94.58%
20-vars/v20_problem__021.smt2.slack.smt2,93.97%
20-vars/v20_problem__028.smt2.slack.smt2,0.0%
20-vars/v20_problem__030.smt2.slack.smt2,95.08%
25-vars/v25_problem_2__014.smt2.slack.smt2,95.33%
25-vars/v25_problem_2__019.smt2.slack.smt2,95.6%
25-vars/v25_problem_2__021.smt2.slack.smt2,94.61%
25-vars/v25_problem_2__022.smt2.slack.smt2,95.57%
25-vars/v25_problem_2__023.smt2.slack.smt2,95.6%
25-vars/v25_problem_2__025.smt2.slack.smt2,95.25%
25-vars/v25_problem_2__034.smt2.slack.smt2,95.05%
25-vars/v25_problem__004.smt2.slack.smt2,88.0%
25-vars/v25_problem__005.smt2.slack.smt2,94.47%
25-vars/v25_problem__008.smt2.slack.smt2,94.23%
25-vars/v25_problem__013.smt2.slack.smt2,77.07%
25-vars/v25_problem__014.smt2.slack.smt2,93.91%
25-vars/v25_problem__016.smt2.slack.smt2,95.34%
25-vars/v25_problem__017.smt2.slack.smt2,95.26%
25-vars/v25_problem__033.smt2.slack.smt2,95.06%
30-vars/v30_problem_2__008.smt2.slack.smt2,94.97%
30-vars/v30_problem_2__010.smt2.slack.smt2,87.02%
30-vars/v30_problem_2__012.smt2.slack.smt2,95.77%
30-vars/v30_problem_2__014.smt2.slack.smt2,61.05%
30-vars/v30_problem_2__017.smt2.slack.smt2,94.69%
30-vars/v30_problem_2__018.smt2.slack.smt2,95.8%
30-vars/v30_problem_2__020.smt2.slack.smt2,89.47%
30-vars/v30_problem_2__024.smt2.slack.smt2,95.23%
30-vars/v30_problem__004.smt2.slack.smt2,95.32%
30-vars/v30_problem__006.smt2.slack.smt2,87.45%
30-vars/v30_problem__009.smt2.slack.smt2,66.77%
30-vars/v30_problem__013.smt2.slack.smt2,94.91%
30-vars/v30_problem__017.smt2.slack.smt2,95.77%
30-vars/v30_problem__024.smt2.slack.smt2,94.83%
30-vars/v30_problem__026.smt2.slack.smt2,96.13%
35-vars/v35_problem_2__004.smt2.slack.smt2,94.5%
35-vars/v35_problem_2__021.smt2.slack.smt2,95.64%
35-vars/v35_problem_2__023.smt2.slack.smt2,96.38%
35-vars/v35_problem_2__026.smt2.slack.smt2,96.29%
35-vars/v35_problem_2__028.smt2.slack.smt2,96.4%
35-vars/v35_problem_2__034.smt2.slack.smt2,96.54%
35-vars/v35_problem__004.smt2.slack.smt2,62.37%
35-vars/v35_problem__006.smt2.slack.smt2,92.25%
35-vars/v35_problem__013.smt2.slack.smt2,96.06%
35-vars/v35_problem__015.smt2.slack.smt2,95.71%
35-vars/v35_problem__016.smt2.slack.smt2,96.27%
35-vars/v35_problem__018.smt2.slack.smt2,96.37%
35-vars/v35_problem__026.smt2.slack.smt2,96.4%
35-vars/v35_problem__028.smt2.slack.smt2,96.48%
35-vars/v35_problem__030.smt2.slack.smt2,96.48%
40-vars/v40_problem_2__009.smt2.slack.smt2,95.38%
40-vars/v40_problem_2__017.smt2.slack.smt2,96.2%
40-vars/v40_problem_2__018.smt2.slack.smt2,96.4%
40-vars/v40_problem_2__020.smt2.slack.smt2,96.57%
40-vars/v40_problem_2__022.smt2.slack.smt2,96.47%
40-vars/v40_problem_2__023.smt2.slack.smt2,96.57%
40-vars/v40_problem_2__027.smt2.slack.smt2,89.0%
40-vars/v40_problem_2__034.smt2.slack.smt2,96.74%
40-vars/v40_problem_2__035.smt2.slack.smt2,96.75%
40-vars/v40_problem__004.smt2.slack.smt2,94.73%
40-vars/v40_problem__008.smt2.slack.smt2,96.01%
40-vars/v40_problem__022.smt2.slack.smt2,96.74%
40-vars/v40_problem__024.smt2.slack.smt2,96.57%
40-vars/v40_problem__025.smt2.slack.smt2,92.36%
40-vars/v40_problem__032.smt2.slack.smt2,96.79%
45-vars/v45_problem_2__001.smt2.slack.smt2,96.38%
45-vars/v45_problem_2__008.smt2.slack.smt2,0.0%
45-vars/v45_problem_2__009.smt2.slack.smt2,95.52%
45-vars/v45_problem_2__019.smt2.slack.smt2,96.08%
45-vars/v45_problem_2__021.smt2.slack.smt2,96.89%
45-vars/v45_problem_2__024.smt2.slack.smt2,96.22%
45-vars/v45_problem_2__025.smt2.slack.smt2,96.64%
45-vars/v45_problem_2__027.smt2.slack.smt2,96.27%
45-vars/v45_problem_2__030.smt2.slack.smt2,96.76%
45-vars/v45_problem_2__033.smt2.slack.smt2,96.95%
45-vars/v45_problem__003.smt2.slack.smt2,54.5%
45-vars/v45_problem__009.smt2.slack.smt2,96.35%
45-vars/v45_problem__015.smt2.slack.smt2,96.56%
45-vars/v45_problem__018.smt2.slack.smt2,96.83%
45-vars/v45_problem__022.smt2.slack.smt2,96.92%
SMT_random_LIA/ex14600_2600_100.smt2,12.53%
SMT_random_LIA/ex16300_2600_100.smt2,4.72%
SMT_random_LIA/ex17800_2600_100.smt2,13.13%
SMT_random_LIA/ex18000_2600_100.smt2,12.97%
SMT_random_LIA/ex18900_2600_100.smt2,13.02%
SMT_random_LIA/ex21200_2600_100.smt2,12.78%
SMT_random_LIA/ex21300_2600_100.smt2,12.81%
SMT_random_LIA/ex21900_2600_100.smt2,5.1%
SMT_random_LIA/ex24600_2600_100.smt2,9.66%
SMT_random_LIA/ex25700_2600_100.smt2,12.18%
SMT_random_LIA/ex26100_2600_100.smt2,12.39%
SMT_random_LIA/ex27000_2600_100.smt2,12.1%
SMT_random_LIA/ex28200_2600_100.smt2,11.74%
SMT_random_LIA/ex28300_2600_100.smt2,11.77%
SMT_random_LIA/ex28500_2600_100.smt2,11.97%
SMT_real_LIA/ex5440_2400_100.smt2,10.62%
SMT_real_LIA/ex5460_2400_100.smt2,10.7%
