Filename,Percentage
45-vars/v45_problem_2__008.smt2.slack.smt2,0.00%
45-vars/v45_problem_2__009.smt2.slack.smt2,64.86%
45-vars/v45_problem_2__019.smt2.slack.smt2,72.54%
45-vars/v45_problem_2__021.smt2.slack.smt2,61.79%
45-vars/v45_problem_2__024.smt2.slack.smt2,61.95%
45-vars/v45_problem_2__025.smt2.slack.smt2,63.84%
45-vars/v45_problem_2__027.smt2.slack.smt2,50.24%
45-vars/v45_problem_2__030.smt2.slack.smt2,52.34%
45-vars/v45_problem_2__033.smt2.slack.smt2,52.96%
45-vars/v45_problem__003.smt2.slack.smt2,0.00%
45-vars/v45_problem__009.smt2.slack.smt2,66.39%
45-vars/v45_problem__015.smt2.slack.smt2,71.82%
45-vars/v45_problem__018.smt2.slack.smt2,72.63%
45-vars/v45_problem__022.smt2.slack.smt2,58.15%
SMT_random_LIA/ex14600_2600_100.smt2,11.39%
SMT_random_LIA/ex16300_2600_100.smt2,4.72%
SMT_random_LIA/ex17800_2600_100.smt2,12.58%
SMT_random_LIA/ex18000_2600_100.smt2,12.86%
SMT_random_LIA/ex18900_2600_100.smt2,12.56%
SMT_random_LIA/ex21200_2600_100.smt2,12.50%
SMT_random_LIA/ex21300_2600_100.smt2,12.35%
SMT_random_LIA/ex21900_2600_100.smt2,5.10%
SMT_random_LIA/ex24600_2600_100.smt2,9.66%
SMT_random_LIA/ex25700_2600_100.smt2,12.22%
SMT_random_LIA/ex26100_2600_100.smt2,12.20%
SMT_random_LIA/ex27000_2600_100.smt2,12.05%
SMT_random_LIA/ex28200_2600_100.smt2,11.78%
SMT_random_LIA/ex28300_2600_100.smt2,11.80%
SMT_random_LIA/ex28500_2600_100.smt2,12.20%
SMT_real_LIA/ex5440_2400_100.smt2,9.54%
SMT_real_LIA/ex5460_2400_100.smt2,9.59%
SMT_real_LIA/ex5480_2400_100.smt2,9.66%
SMT_real_LIA/ex5680_2400_100.smt2,8.99%
SMT_real_LIA/ex6120_2400_100.smt2,10.25%
SMT_real_LIA/ex6220_2400_100.smt2,9.95%
SMT_real_LIA/ex8220_2400_100.smt2,10.77%
SMT_real_LIA/ex8440_2400_100.smt2,10.41%
SMT_real_LIA/ex8500_2400_100.smt2,10.91%
SMT_real_LIA/ex8600_2400_100.smt2,10.78%
SMT_real_LIA/ex8820_2400_100.smt2,10.50%
SMT_real_LIA/ex9240_2400_100.smt2,10.59%
SMT_real_LIA/ex9500_2400_100.smt2,10.67%
SMT_real_LIA/ex9820_2400_100.smt2,10.58%
SMT_real_LIA/ex9900_2400_100.smt2,10.84%
10-vars/problem_2__004.smt2,65.79%
10-vars/problem_2__005.smt2,66.09%
10-vars/problem_2__007.smt2,0.00%
10-vars/problem_2__008.smt2,70.51%
10-vars/problem_2__010.smt2,11.92%
10-vars/problem_2__011.smt2,0.00%
10-vars/problem_2__017.smt2,22.25%
10-vars/problem_2__022.smt2,47.25%
10-vars/problem__005.smt2,0.00%
10-vars/problem__006.smt2,69.86%
10-vars/problem__007.smt2,9.67%
10-vars/problem__010.smt2,65.32%
10-vars/problem__014.smt2,40.55%
10-vars/problem__015.smt2,38.29%
10-vars/problem__023.smt2,0.00%
15-vars/problem_2__001.smt2,57.65%
15-vars/problem_2__003.smt2,0.00%
15-vars/problem_2__006.smt2,70.94%
15-vars/problem_2__007.smt2,69.67%
15-vars/problem_2__008.smt2,0.00%
15-vars/problem_2__009.smt2,35.02%
15-vars/problem_2__015.smt2,79.04%
15-vars/problem_2__023.smt2,61.77%
15-vars/problem__002.smt2,0.00%
15-vars/problem__004.smt2,63.05%
15-vars/problem__010.smt2,73.94%
15-vars/problem__011.smt2,63.63%
15-vars/problem__013.smt2,66.30%
15-vars/problem__017.smt2,18.10%
15-vars/problem__019.smt2,63.82%
20-vars/problem_2__004.smt2,0.00%
20-vars/problem_2__006.smt2,29.19%
20-vars/problem_2__007.smt2,72.23%
20-vars/problem_2__010.smt2,71.60%
20-vars/problem_2__012.smt2,74.56%
20-vars/problem_2__015.smt2,70.95%
20-vars/problem__003.smt2,71.14%
20-vars/problem__004.smt2,26.40%
20-vars/problem__005.smt2,47.70%
20-vars/problem__008.smt2,40.74%
20-vars/problem__009.smt2,73.27%
20-vars/problem__012.smt2,73.64%
20-vars/problem__021.smt2,63.17%
20-vars/problem__024.smt2,69.14%
20-vars/problem__028.smt2,0.00%
25-vars/problem_2__002.smt2,14.99%
25-vars/problem_2__003.smt2,73.98%
25-vars/problem_2__008.smt2,18.22%
25-vars/problem_2__011.smt2,75.48%
25-vars/problem_2__016.smt2,77.30%
25-vars/problem_2__018.smt2,70.22%
25-vars/problem_2__024.smt2,71.84%
25-vars/problem_2__025.smt2,70.54%
25-vars/problem_2__026.smt2,71.07%
25-vars/problem_2__032.smt2,81.27%
25-vars/problem__004.smt2,60.60%
25-vars/problem__012.smt2,72.19%
25-vars/problem__019.smt2,73.86%
25-vars/problem__029.smt2,67.53%
25-vars/problem__035.smt2,81.27%
30-vars/problem_2__005.smt2,73.07%
30-vars/problem_2__010.smt2,74.32%
30-vars/problem_2__016.smt2,68.78%
30-vars/problem_2__021.smt2,71.92%
30-vars/problem_2__022.smt2,75.23%
30-vars/problem_2__035.smt2,65.00%
30-vars/problem__003.smt2,43.91%
30-vars/problem__004.smt2,74.17%
30-vars/problem__010.smt2,60.29%
30-vars/problem__012.smt2,75.24%
30-vars/problem__015.smt2,76.87%
30-vars/problem__017.smt2,75.65%
30-vars/problem__020.smt2,72.92%
30-vars/problem__027.smt2,72.02%
30-vars/problem__035.smt2,80.55%
35-vars/problem_2__007.smt2,75.88%
35-vars/problem_2__015.smt2,75.82%
35-vars/problem_2__017.smt2,75.34%
35-vars/problem_2__019.smt2,58.34%
35-vars/problem_2__022.smt2,72.92%
35-vars/problem_2__026.smt2,74.43%
35-vars/problem_2__029.smt2,73.87%
35-vars/problem_2__033.smt2,74.38%
35-vars/problem__003.smt2,74.37%
35-vars/problem__004.smt2,14.96%
35-vars/problem__006.smt2,75.16%
35-vars/problem__010.smt2,74.47%
35-vars/problem__016.smt2,76.99%
35-vars/problem__019.smt2,74.76%
35-vars/problem__035.smt2,71.94%
40-vars/problem_2__003.smt2,74.24%
40-vars/problem_2__006.smt2,75.94%
40-vars/problem_2__007.smt2,74.97%
40-vars/problem_2__020.smt2,74.90%
40-vars/problem_2__023.smt2,74.05%
40-vars/problem_2__025.smt2,74.97%
40-vars/problem_2__029.smt2,72.93%
40-vars/problem_2__032.smt2,74.62%
40-vars/problem_2__034.smt2,66.97%
40-vars/problem__004.smt2,72.66%
40-vars/problem__009.smt2,75.43%
40-vars/problem__012.smt2,76.61%
40-vars/problem__015.smt2,75.71%
40-vars/problem__017.smt2,75.02%
40-vars/problem__032.smt2,79.51%
45-vars/problem_2__004.smt2,75.20%
45-vars/problem_2__007.smt2,75.46%
45-vars/problem_2__011.smt2,75.87%
45-vars/problem_2__017.smt2,75.62%
45-vars/problem_2__020.smt2,76.84%
45-vars/problem_2__021.smt2,76.46%
45-vars/problem_2__024.smt2,76.08%
45-vars/problem_2__034.smt2,74.25%
45-vars/problem__007.smt2,75.68%
45-vars/problem__015.smt2,76.21%
45-vars/problem__018.smt2,75.51%
45-vars/problem__028.smt2,73.68%
45-vars/problem__029.smt2,75.58%
45-vars/problem__030.smt2,73.60%
45-vars/problem__033.smt2,73.60%
convert/convert-jpg2gif-query-1140.smt2,0.00%
convert/convert-jpg2gif-query-1145.smt2,0.00%
convert/convert-jpg2gif-query-1146.smt2,0.00%
convert/convert-jpg2gif-query-1152.smt2,0.00%
convert/convert-jpg2gif-query-1164.smt2,0.00%
convert/convert-jpg2gif-query-1191.smt2,7.22%
convert/convert-jpg2gif-query-1203.smt2,8.81%
convert/convert-jpg2gif-query-1358.smt2,8.49%
convert/convert-jpg2gif-query-1365.smt2,7.43%
convert/convert-jpg2gif-query-1370.smt2,7.28%
convert/convert-jpg2gif-query-1372.smt2,7.94%
convert/convert-jpg2gif-query-1423.smt2,9.52%
convert/convert-jpg2gif-query-1459.smt2,9.04%
convert/convert-jpg2gif-query-1561.smt2,11.10%
convert/convert-jpg2gif-query-1590.smt2,9.68%
dillig/10-21.smt2,77.41%
dillig/15-20.smt2,82.18%
dillig/25-26.smt2,90.05%
dillig/25-9.smt2,91.58%
dillig/30-12.smt2,92.17%
dillig/30-23.smt2,92.50%
dillig/30-28.smt2,94.77%
dillig/35-11.smt2,93.93%
dillig/40-10.smt2,93.22%
dillig/40-17.smt2,94.38%
dillig/40-25.smt2,94.80%
dillig/40-35.smt2,91.33%
dillig/40-4.smt2,91.88%
dillig/45-26.smt2,93.81%
dillig/45-28.smt2,94.11%
pb2010/normalized-1096.cudf.paranoid.smt2,0.00%
pb2010/normalized-j3024_4-sat.smt2,7.41%
pb2010/normalized-j3025_1-sat.smt2,0.90%
pb2010/normalized-j3025_7-sat.smt2,4.11%
pb2010/normalized-j3027_8-sat.smt2,6.84%
pb2010/normalized-j3031_7-sat.smt2,4.74%
pb2010/normalized-j3037_5-sat.smt2,0.98%
pb2010/normalized-j3048_8-sat.smt2,3.99%
pb2010/normalized-j308_6-sat.smt2,7.57%
pb2010/normalized-j6015_4-sat.smt2,9.26%
pb2010/normalized-j6018_3-sat.smt2,5.18%
pb2010/normalized-j6022_1-sat.smt2,3.40%
pb2010/normalized-j6035_10-sat.smt2,3.16%
pb2010/normalized-j6040_1-sat.smt2,4.46%
pb2010/normalized-j6048_4-sat.smt2,5.78%
prime-cone/prime_cone_sat_10.smt2,45.95%
prime-cone/prime_cone_sat_13.smt2,21.91%
prime-cone/prime_cone_sat_14.smt2,30.80%
prime-cone/prime_cone_sat_15.smt2,84.15%
prime-cone/prime_cone_sat_17.smt2,27.65%
prime-cone/prime_cone_sat_19.smt2,30.13%
prime-cone/prime_cone_sat_2.smt2,0.00%
prime-cone/prime_cone_sat_20.smt2,27.46%
prime-cone/prime_cone_sat_3.smt2,0.00%
